rcid,total_postings,n_years,first_year,last_year
99709804,20363,4,2023,2026
952420,10377,5,2022,2026
779820,10279,7,2020,2026
94762324,9890,5,2022,2026
1393437,7105,7,2020,2026
4826857,7080,7,2020,2026
20937770,6779,8,2019,2026
1187448,6694,6,2021,2026
1301557,6350,7,2020,2026
1109560,6198,7,2020,2026
3178295,5891,7,2020,2026
331805,5081,7,2020,2026
4821893,5006,6,2021,2026
1411325,4554,1,2023,2023
22193373,4354,5,2022,2026
1262959,4333,1,2023,2023
369884,4009,6,2021,2026
2753762,3953,4,2021,2024
1230770,3811,7,2020,2026
371671,3787,7,2020,2026
100120747,3607,2,2024,2025
57206,3601,3,2018,2022
4834309,3593,6,2021,2026
5184192,3577,4,2022,2025
5797611,3519,7,2020,2026
2934290,3403,7,2020,2026
25674,3390,7,2020,2026
6497971,3325,6,2021,2026
1171338,3274,7,2020,2026
7375,3251,6,2021,2026
16572390,3173,6,2021,2026
22144692,3140,7,2020,2026
5874,3121,5,2021,2025
6328177,2902,8,2019,2026
160134,2801,7,2020,2026
1093894,2720,8,2019,2026
812980,2585,1,2024,2024
4067634,2584,7,2020,2026
4329571,2554,8,2019,2026
22165252,2547,6,2021,2026
94151392,2531,6,2021,2026
92791438,2487,9,2017,2026
906630,2483,7,2020,2026
188574,2460,1,2025,2025
15777661,2391,3,2024,2026
22208096,2358,7,2020,2026
24229018,2313,3,2024,2026
940229,2281,9,2018,2026
51306,2272,6,2021,2026
4960281,2213,7,2020,2026
2379241,2147,7,2020,2026
703686,2098,7,2020,2026
101618793,2028,2,2025,2026
915905,1943,7,2020,2026
1642938,1936,6,2021,2026
22233107,1858,6,2021,2026
689248,1852,7,2020,2026
1112079,1823,7,2020,2026
2401605,1784,6,2021,2026
20972224,1782,5,2022,2026
1804841,1776,8,2018,2026
5371666,1739,6,2021,2026
22789272,1734,7,2020,2026
320121,1715,7,2020,2026
22151255,1691,6,2021,2026
1352892,1672,7,2020,2026
21047943,1632,5,2021,2025
875126,1626,7,2020,2026
1091691,1617,6,2021,2026
9144053,1565,6,2021,2026
906377,1564,8,2019,2026
1656258,1508,7,2020,2026
11570823,1488,5,2021,2025
1083012,1486,8,2015,2026
781017,1481,6,2021,2026
1134784,1444,7,2020,2026
22178039,1438,7,2020,2026
1653581,1430,7,2020,2026
12003118,1402,6,2020,2025
936658,1386,7,2020,2026
7050618,1383,7,2020,2026
4129372,1374,6,2021,2026
984909,1368,7,2020,2026
7194204,1364,6,2021,2026
6130074,1358,7,2020,2026
506904,1347,5,2022,2026
15598236,1332,3,2022,2024
4129369,1313,8,2019,2026
7834861,1312,6,2021,2026
5819484,1302,5,2022,2026
93195609,1266,6,2021,2026
830673,1251,7,2020,2026
9080,1249,7,2020,2026
748242,1217,7,2020,2026
709929,1207,7,2020,2026
4441748,1196,6,2021,2026
93128095,1194,8,2018,2026
417547,1165,8,2019,2026
169360,1152,7,2020,2026
5528766,1150,4,2021,2024
243073,1139,7,2020,2026
465081,1131,7,2020,2026
61643,1128,7,2020,2026
802435,1121,6,2021,2026
1451417,1120,7,2020,2026
144359,1114,3,2024,2026
567403,1106,6,2021,2026
96165922,1101,4,2022,2025
996610,1100,7,2020,2026
3599360,1086,7,2020,2026
95828750,1077,5,2022,2026
1036263,1068,6,2018,2026
936611,1066,7,2020,2026
4392281,1062,4,2021,2026
9279668,1060,5,2022,2026
8078440,1046,7,2020,2026
24018989,1046,8,2018,2026
22247947,1035,5,2021,2025
355092,1034,6,2021,2026
7646045,1032,7,2020,2026
20933904,1026,7,2020,2026
760720,1019,2,2023,2024
534669,1002,7,2020,2026
97713944,996,2,2024,2025
581558,994,6,2021,2026
21597170,992,8,2019,2026
1124974,979,4,2022,2025
1232808,971,7,2020,2026
239923,970,7,2020,2026
22239664,966,5,2022,2026
9245519,954,5,2022,2026
20517181,944,7,2020,2026
1165843,943,7,2020,2026
23453910,940,7,2020,2026
1666636,937,6,2021,2026
981501,933,7,2020,2026
443107,931,7,2020,2026
1214801,930,5,2022,2026
4806592,928,4,2022,2025
16241616,922,6,2021,2026
457987,919,6,2021,2026
2359425,911,7,2020,2026
101031440,907,3,2024,2026
22155844,902,7,2020,2026
5827739,900,4,2021,2024
350953,882,7,2020,2026
15844,878,7,2018,2026
96486200,872,3,2024,2026
10146245,864,4,2023,2026
174957,862,6,2021,2026
3844800,860,3,2023,2025
22148556,853,7,2020,2026
5216313,851,3,2022,2024
1682563,849,6,2021,2026
1869656,843,8,2018,2026
8742431,840,7,2020,2026
14068384,827,6,2021,2026
96545310,820,7,2020,2026
1411349,819,5,2022,2026
1640006,817,6,2021,2026
4425398,809,6,2021,2026
8902213,804,6,2021,2026
17568641,803,5,2021,2026
1262285,794,7,2020,2026
96617644,794,5,2022,2026
96501934,792,3,2024,2026
966158,789,7,2020,2026
12004415,786,7,2020,2026
89119,782,5,2022,2026
1055042,782,6,2021,2026
287155,781,7,2020,2026
98270936,759,3,2024,2026
817161,755,3,2024,2026
280087,751,7,2020,2026
647056,749,6,2021,2026
4881345,747,3,2024,2026
7209799,746,6,2020,2025
93218364,741,6,2021,2026
26615515,737,4,2023,2026
1524339,731,6,2021,2026
22251670,731,5,2022,2026
769064,724,5,2022,2026
7723950,723,7,2020,2026
1451949,720,7,2020,2026
8054215,719,7,2020,2026
1368743,716,7,2020,2026
169939,711,7,2020,2026
649820,710,5,2020,2024
1399622,709,3,2024,2026
302463,706,7,2020,2026
935792,701,7,2020,2026
639812,698,7,2019,2026
10987211,697,7,2020,2026
1145983,694,6,2021,2026
93320952,692,4,2023,2026
305012,689,6,2021,2026
7534776,687,6,2021,2026
800066,686,6,2021,2026
5819478,675,6,2021,2026
5337915,674,6,2021,2026
604502,672,5,2022,2026
6400398,670,6,2021,2026
547116,669,7,2020,2026
606079,667,6,2018,2026
583678,663,7,2020,2026
826245,660,7,2020,2026
7730775,656,7,2020,2026
2568794,654,7,2020,2026
20701990,654,7,2020,2026
444215,653,6,2021,2026
1084122,653,7,2020,2026
1355972,652,6,2021,2026
465947,648,5,2022,2026
1058565,647,7,2020,2026
7194636,643,5,2022,2026
449862,625,5,2022,2026
687161,625,5,2022,2026
114861,618,7,2020,2026
827410,615,7,2020,2026
668132,606,7,2020,2026
415089,605,5,2022,2026
1237142,604,7,2020,2026
397105,603,7,2020,2026
6426199,595,6,2021,2026
187106,593,7,2020,2026
22169337,591,5,2020,2024
6715068,590,7,2020,2026
467759,588,7,2020,2026
241524,587,6,2021,2026
509865,587,5,2020,2025
272995,585,6,2021,2026
1076325,585,7,2020,2026
1295406,583,6,2021,2026
1401115,582,4,2023,2026
20922659,582,7,2020,2026
7827882,572,5,2022,2026
1669173,571,7,2020,2026
1446123,570,5,2022,2026
7170444,567,7,2020,2026
803275,566,5,2022,2026
4675641,566,7,2020,2026
62507,564,6,2021,2026
2184651,561,7,2020,2026
1075991,559,6,2021,2026
4280403,558,6,2021,2026
2562438,557,7,2020,2026
385118,554,6,2021,2026
917454,554,5,2021,2025
1304415,554,7,2020,2026
354943,552,5,2022,2026
1706855,552,7,2019,2026
90557615,552,5,2022,2026
166182,549,4,2022,2026
373045,548,6,2021,2026
806872,548,7,2020,2026
93935114,548,4,2022,2025
772171,547,6,2021,2026
1498016,544,4,2023,2026
1626101,544,7,2020,2026
93368720,541,6,2021,2026
7963787,540,7,2020,2026
7387455,538,7,2020,2026
664191,535,5,2022,2026
1207382,534,7,2020,2026
6196444,533,7,2020,2026
4356319,532,2,2023,2024
3915065,530,6,2021,2026
754343,528,6,2021,2026
411620,524,6,2021,2026
92776493,524,4,2023,2026
561009,522,6,2021,2026
188011,518,5,2022,2026
1033568,516,6,2021,2026
100585255,516,3,2024,2026
678932,512,7,2020,2026
886975,512,5,2021,2025
22163960,511,4,2023,2026
977104,508,3,2020,2022
8097940,508,7,2020,2026
22142761,508,7,2020,2026
234743,506,7,2020,2026
27888956,505,4,2023,2026
101562517,505,2,2024,2025
163188,504,7,2020,2026
5284017,504,6,2021,2026
22152675,501,7,2020,2026
1012780,498,7,2020,2026
8047187,498,7,2020,2026
4148535,496,6,2020,2026
4603309,495,6,2021,2026
998659,494,3,2023,2025
207187,492,7,2020,2026
849413,489,7,2020,2026
1136927,483,7,2020,2026
21226722,483,5,2022,2026
94177929,481,3,2024,2026
53775,479,7,2020,2026
424716,477,5,2022,2026
