year,moves
1951,1
1954,1
1960,1
1961,1
1962,2
1964,1
1965,1
1967,5
1968,3
1969,5
1970,8
1971,12
1972,18
1973,15
1974,14
1975,30
1976,27
1977,33
1978,37
1979,53
1980,79
1981,90
1982,106
1983,118
1984,149
1985,208
1986,223
1987,316
1988,379
1989,534
1990,714
1991,761
1992,1020
1993,1226
1994,1479
1995,1844
1996,2243
1997,3024
1998,3811
1999,5182
2000,7699
2001,7500
2002,8295
2003,9529
2004,12250
2005,14437
2006,17719
2007,22238
2008,24486
2009,23015
2010,24661
2011,25872
2012,29270
2013,38343
2014,44040
2015,46309
2016,54905
2017,62629
2018,73957
2019,82890
2020,76868
2021,99909
2022,108077
2023,104736
2024,98574
2025,76401
2026,7488
