rcid,year,n_postings
166,2022,1
166,2023,10
166,2024,4
166,2025,20
166,2026,2
218,2020,1
218,2022,21
218,2023,53
218,2024,29
218,2025,34
218,2026,2
363,2022,1
419,2022,1
591,2023,3
591,2024,2
674,2019,4
674,2020,6
674,2021,5
674,2024,49
674,2025,142
674,2026,101
767,2022,1
1238,2024,3
1305,2023,1
1305,2024,1
1305,2025,1
1490,2020,1
1490,2021,1
1616,2022,4
1616,2023,11
1616,2024,3
1616,2025,1
1780,2021,1
1780,2025,1
1795,2022,1
1795,2023,2
1795,2024,1
1795,2025,3
1795,2026,1
1866,2024,1
2034,2021,5
2034,2023,3
2034,2025,1
2050,2022,2
2265,2025,1
2493,2022,25
2493,2023,16
2493,2024,13
2493,2025,2
2523,2021,6
2523,2022,22
2523,2023,7
2523,2024,6
2523,2025,4
2523,2026,1
2554,2021,6
2554,2022,5
2554,2023,2
2554,2024,9
2554,2025,8
2554,2026,1
2630,2023,5
2630,2024,34
2630,2025,74
2630,2026,6
2649,2022,4
2672,2023,13
2672,2024,12
2672,2025,5
2687,2025,10
2720,2021,12
2720,2022,3
2720,2025,1
2886,2022,1
2886,2023,1
2886,2025,6
2886,2026,2
2970,2025,1
3190,2024,1
3246,2024,2
3246,2025,3
3430,2025,2
3430,2026,6
3442,2022,2
3677,2022,14
3677,2023,34
3677,2024,24
3677,2025,3
3861,2025,4
3911,2025,1
4005,2023,1
4044,2020,2
4044,2023,4
4044,2024,4
4119,2023,2
4119,2024,7
4119,2025,1
4119,2026,2
4430,2025,1
4494,2022,2
4494,2025,3
4841,2021,1
4841,2023,2
4869,2019,4
4869,2020,3
4869,2021,3
4869,2022,1
5058,2024,2
5212,2021,2
5264,2024,1
5303,2022,1
5303,2025,14
5303,2026,24
5500,2025,12
5511,2024,1
5511,2025,7
5568,2020,2
5568,2021,12
5568,2022,19
5568,2023,26
5568,2024,11
5568,2025,7
5568,2026,3
5635,2021,3
5635,2022,2
5635,2023,1
5635,2024,2
5635,2025,3
5635,2026,2
5644,2023,1
5644,2024,2
5644,2025,1
5646,2021,9
5646,2022,40
5646,2023,20
5646,2024,21
5646,2025,29
5646,2026,1
5710,2020,2
5710,2021,23
5710,2022,22
5710,2023,4
5719,2025,3
5719,2026,5
5871,2021,1
5871,2022,1
5871,2023,2
5874,2021,6
5874,2022,34
5874,2023,974
5874,2024,1737
5874,2025,370
6442,2020,3
6442,2021,20
6442,2022,54
6442,2023,24
6442,2024,44
6442,2025,85
6442,2026,28
6960,2022,1
6960,2023,3
7159,2023,2
7375,2021,2
7375,2022,22
7375,2023,152
7375,2024,501
7375,2025,2527
7375,2026,47
7376,2020,1
7376,2021,4
7376,2022,18
7376,2023,93
7376,2024,131
7376,2025,106
7376,2026,13
7387,2020,1
7387,2021,20
