year,hires,separations
1950,34,1
1951,28,1
1952,27,2
1953,22,1
1954,29,2
1955,31,1
1956,28,1
1957,47,3
1958,91,4
1959,213,3
1960,258,10
1961,174,10
1962,182,12
1963,184,11
1964,203,12
1965,276,19
1966,259,16
1967,320,32
1968,372,34
1969,392,46
1970,631,71
1971,505,56
1972,712,97
1973,694,98
1974,925,146
1975,1140,159
1976,1257,212
1977,1420,283
1978,1692,338
1979,1842,420
1980,3211,595
1981,2946,702
1982,3086,759
1983,3645,890
1984,4207,1105
1985,5526,1458
1986,5924,1704
1987,7184,2071
1988,8161,2376
1989,10474,3284
1990,13299,4078
1991,12332,4522
1992,15577,5723
1993,16932,6746
1994,18468,7911
1995,22525,9403
1996,25590,11000
1997,29567,13544
1998,35560,16485
1999,43345,21458
2000,58685,27274
2001,50462,28110
2002,55693,30709
2003,61679,34476
2004,76517,47357
2005,82028,47079
2006,93314,56050
2007,107499,64996
2008,117234,76872
2009,111133,79190
2010,120638,90006
2011,122835,98912
2012,134413,110951
2013,153688,118616
2014,171091,129290
2015,172955,138856
2016,188286,146235
2017,204406,156456
2018,222968,172426
2019,232696,185909
2020,198762,161986
2021,242228,185913
2022,254403,214185
2023,235542,206988
2024,207891,187110
2025,149720,145213
2026,13378,11656
