dataset,year,format,size_b,n_rows,n_cols
Individuals,1950,parquet,16817958,316600,29
Individuals,1951,parquet,16412593,316627,29
Individuals,1952,parquet,16713801,316653,29
Individuals,1953,parquet,16562925,316673,29
Individuals,1954,parquet,16811405,316701,29
Individuals,1955,parquet,16838033,316730,29
Individuals,1956,parquet,16313571,316757,29
Individuals,1957,parquet,16727515,316803,29
Individuals,1958,parquet,16668020,316891,29
Individuals,1959,parquet,16833703,317100,29
Individuals,1960,parquet,16350090,317355,29
Individuals,1961,parquet,16512224,317519,29
Individuals,1962,parquet,16436603,317691,29
Individuals,1963,parquet,16887287,317863,29
Individuals,1964,parquet,16670337,318055,29
Individuals,1965,parquet,16731883,318319,29
Individuals,1966,parquet,16430438,318559,29
Individuals,1967,parquet,16393102,318863,29
Individuals,1968,parquet,16884578,319203,29
Individuals,1969,parquet,17003970,319561,29
Individuals,1970,parquet,16564800,320146,29
Individuals,1971,parquet,16479488,320580,29
Individuals,1972,parquet,16734829,321236,29
Individuals,1973,parquet,16647954,321833,29
Individuals,1974,parquet,16957556,322660,29
Individuals,1975,parquet,17024533,323654,29
Individuals,1976,parquet,16980390,324752,29
Individuals,1977,parquet,17102360,325960,29
Individuals,1978,parquet,17498279,327369,29
Individuals,1979,parquet,17565053,328873,29
Individuals,1980,parquet,17401307,331664,29
Individuals,1981,parquet,17631438,334015,29
Individuals,1982,parquet,17797543,336399,29
Individuals,1983,parquet,17620394,339285,29
Individuals,1984,parquet,17969830,342602,29
Individuals,1985,parquet,18271124,347023,29
Individuals,1986,parquet,18447082,351489,29
Individuals,1987,parquet,18516742,356969,29
Individuals,1988,parquet,19154640,363059,29
Individuals,1989,parquet,19350747,371157,29
Individuals,1990,parquet,20161252,381172,29
Individuals,1991,parquet,20484195,389426,29
Individuals,1992,parquet,20859920,400481,29
Individuals,1993,parquet,21350062,411690,29
Individuals,1994,parquet,22104764,423412,29
Individuals,1995,parquet,22770644,438026,29
Individuals,1996,parquet,23901222,454213,29
Individuals,1997,parquet,24865198,472780,29
Individuals,1998,parquet,25747931,494796,29
Individuals,1999,parquet,27357954,521656,29
Individuals,2000,parquet,29440696,558883,29
Individuals,2001,parquet,30645129,582071,29
Individuals,2002,parquet,31789389,609654,29
Individuals,2003,parquet,33496009,640624,29
Individuals,2004,parquet,35441945,682665,29
Individuals,2005,parquet,37398927,717336,29
Individuals,2006,parquet,39601191,763571,29
Individuals,2007,parquet,42318159,815020,29
Individuals,2008,parquet,44834661,867258,29
Individuals,2009,parquet,46572766,901519,29
Individuals,2010,parquet,48960199,942967,29
Individuals,2011,parquet,49909123,975796,29
Individuals,2012,parquet,52188373,1011297,29
Individuals,2013,parquet,54437966,1054034,29
Individuals,2014,parquet,57443406,1106509,29
Individuals,2015,parquet,59657045,1150174,29
Individuals,2016,parquet,62202567,1199604,29
Individuals,2017,parquet,65338385,1257775,29
Individuals,2018,parquet,68432068,1324287,29
Individuals,2019,parquet,71550222,1384557,29
Individuals,2020,parquet,72138876,1397410,29
Individuals,2021,parquet,76692801,1477652,29
Individuals,2022,parquet,80158438,1546142,29
Individuals,2023,parquet,80680613,1567499,29
Individuals,2024,parquet,81271243,1568402,29
Individuals,2025,parquet,79289628,1531012,29
Individuals,2026,parquet,72784259,1399177,29
Postings,2010,csv.zip,628,2,28
Postings,2015,csv.zip,2182,30,28
Postings,2016,csv.zip,1966414,51061,28
Postings,2017,csv.zip,7990,158,28
Postings,2018,csv.zip,26609,614,28
Postings,2019,csv.zip,29164,591,28
Postings,2020,csv.zip,407879,6604,28
Postings,2021,csv.zip,3015606,69586,28
Postings,2022,csv.zip,6618208,155419,28
Postings,2023,csv.zip,13482306,333258,28
Postings,2024,csv.zip,17485891,417847,28
Postings,2025,csv.zip,18715973,454952,28
Postings,2026,csv.zip,3552450,84095,28
