month,total,source_indeed,source_linkedin,source_company_sites,source_staffingfirms
2010-07,1,0,0,1,0
2010-11,1,0,0,0,1
2015-05,1,0,0,1,0
2015-08,2,0,0,2,0
2015-12,27,27,0,0,0
2016-01,2320,2320,0,0,0
2016-02,3,3,0,0,0
2016-03,10,10,0,0,0
2016-04,3901,3901,0,0,0
2016-05,9207,9206,0,0,0
2016-06,10336,10335,0,0,0
2016-07,6336,6336,0,0,0
2016-08,7602,7595,0,6,0
2016-09,8319,8317,0,1,0
2016-10,3013,3010,0,1,0
2016-11,6,0,0,0,0
2016-12,8,8,0,0,0
2017-01,13,13,0,0,0
2017-02,2,1,0,0,0
2017-03,3,1,0,0,0
2017-04,2,0,0,0,0
2017-05,10,9,0,0,0
2017-06,19,19,0,0,0
2017-07,20,11,0,4,0
2017-08,18,7,0,0,0
2017-09,12,6,0,0,0
2017-10,21,16,0,0,0
2017-11,7,7,0,0,0
2017-12,31,27,0,1,0
2018-01,15,13,0,0,0
2018-02,26,19,0,0,0
2018-03,34,25,0,4,0
2018-04,167,16,0,142,0
2018-05,42,26,0,6,0
2018-06,35,25,0,1,0
2018-07,34,21,0,1,0
2018-08,39,26,0,0,0
2018-09,39,25,0,2,0
2018-10,46,35,0,0,1
2018-11,58,47,0,1,0
2018-12,79,62,0,2,0
2019-01,76,56,0,3,0
2019-02,39,23,0,0,0
2019-03,85,62,0,1,0
2019-04,30,28,0,0,0
2019-05,37,32,0,1,0
2019-06,46,40,0,2,0
2019-07,51,50,0,1,0
2019-08,35,33,0,0,0
2019-09,37,31,0,2,0
2019-10,37,32,0,1,0
2019-11,34,31,0,2,0
2019-12,84,72,0,12,0
2020-01,76,63,0,7,0
2020-02,67,48,0,10,0
2020-03,51,38,0,0,0
2020-04,57,35,0,10,0
2020-05,790,65,718,7,0
2020-06,1623,83,1520,10,0
2020-07,341,76,246,6,0
2020-08,100,56,0,2,0
2020-09,93,72,2,5,0
2020-10,146,89,22,11,0
2020-11,1304,72,1195,8,0
2020-12,1956,13,1906,11,2
2021-01,2603,44,2474,9,0
2021-02,3131,44,3023,14,0
2021-03,3013,129,2831,35,1
2021-04,4681,145,4504,16,1
2021-05,9891,162,9681,34,1
2021-06,3697,116,3530,26,0
2021-07,1938,144,1526,32,0
2021-08,12526,180,12032,23,1
2021-09,6537,183,6222,40,0
2021-10,7096,180,6532,45,0
2021-11,6995,244,6392,148,10
2021-12,7478,167,7068,49,0
2022-01,9797,222,9227,140,2
2022-02,11341,218,10657,115,7
2022-03,17151,265,9647,160,1
2022-04,9412,255,6987,155,5
2022-05,10975,381,10302,219,8
2022-06,9132,392,8659,222,4
2022-07,9189,456,8640,287,7
2022-08,8250,361,7834,279,4
2022-09,12006,834,11143,464,3
2022-10,14744,1618,13172,509,9
2022-11,22420,9136,13712,814,2
2022-12,21002,10064,11553,560,11
2023-01,30574,16972,14438,951,0
2023-02,24786,14111,11405,991,8
2023-03,30373,17162,14014,1429,11
2023-04,22253,13009,9732,1342,35
2023-05,26831,16470,10856,2124,15
2023-06,24689,11603,13619,1977,24
2023-07,19280,9427,10401,1656,11
2023-08,21346,9969,11842,1236,14
2023-09,31664,16339,15812,2024,15
2023-10,35086,17773,17932,2726,28
2023-11,30858,16993,14091,3360,18
2023-12,35518,15778,19510,3022,39
2024-01,36986,22133,14253,4474,43
2024-02,35190,22845,11635,4215,41
2024-03,37837,22596,13469,5781,236
2024-04,39503,23921,13646,6251,81
2024-05,30887,20387,10591,2733,26
2024-06,30942,17272,13506,3115,17
2024-07,27927,16975,10634,3319,38
2024-08,28614,18708,9469,2823,73
2024-09,41963,28793,12552,4324,171
2024-10,37346,23670,12669,4841,408
2024-11,36372,22634,11720,4711,1463
2024-12,34280,18401,9582,3638,6307
2025-01,52769,29385,12014,4782,10598
2025-02,42164,28482,10921,4814,2102
2025-03,53604,33992,10230,4690,8809
2025-04,41608,11407,11132,8968,15380
2025-05,57167,10899,12538,4841,32859
2025-06,38515,10088,10272,4591,17218
2025-07,25699,9412,10326,5456,4785
2025-08,23009,8427,9132,4540,4619
2025-09,27692,11150,12635,4915,3835
2025-10,31036,16395,10669,5267,3576
2025-11,32152,15142,11184,6741,4092
2025-12,29537,13548,10642,6092,3377
2026-01,38183,16382,12973,8301,5719
2026-02,36606,15882,11399,8070,5617
2026-03,9306,3818,2582,2569,1237
