year,n_postings,pct_missing_rcid,pct_missing_company,pct_empty_geo,pct_salary_pred,source_company_sites,source_linkedin,source_indeed,source_zhaopin,source_51job,source_liepin,source_other_aggregators,source_staffingfirms,source_regional_aggregators
2010,2,50,50,50,100,1,0,0,0,0,0,0,1,0
2015,30,93.3,93.3,13.3,96.7,3,0,27,0,0,0,0,0,0
2016,51061,100,100,25.8,100,8,0,51041,10,0,0,5,0,0
2017,158,90.5,90.5,20.9,81.4,5,0,117,24,0,1,24,0,0
2018,614,77.7,77.7,30.3,82.2,159,0,340,21,0,3,151,1,0
2019,591,58.9,58.9,7.8,85.8,25,0,490,5,4,13,87,0,0
2020,6604,11.8,12.1,5.1,97.2,87,5609,710,2,0,3,393,2,1
2021,69586,25.2,25.4,6.6,99.1,471,65815,1738,0,0,0,2470,14,1
2022,155419,15.2,15.3,7.7,98.8,3924,121533,24202,0,0,0,11454,63,75
2023,333258,36.7,36.8,7.4,95.9,22838,163652,175606,0,0,0,671,218,665
2024,417847,46.8,46.9,6.8,96,50225,143726,258335,0,0,0,0,8904,2398
2025,454952,41.5,41.6,8.4,96.1,65697,131695,198327,0,0,0,0,111250,1988
2026,84095,40.9,41,7.9,95.1,18940,26954,36082,0,0,0,0,12573,637
